transaction_id,expense_date,employee_id,employee_name,department,vendor,expense_category,amount,branch_location,original_fraud,is_anomaly,anomaly_type,risk_score,Unnamed: 0
TXN00069,2019-03-27 15:12:26,EMP0600,Paula Estrada,Genel,Kutch-Ferry,Ekipman & Donanım,65.87,"Spencer, SD",0,False,,0.0,163013
TXN00070,2020-06-08 04:18:28,EMP0744,Phillip Robertson,Ar-Ge,"Streich, Hansen And Veum",Ulaşım,72.23,"Harrodsburg, IN",0,False,,0.0,1259369
TXN00071,2019-11-29 17:03:47,EMP0039,Jessica Jordan,Genel,Gislason Group,Seyahat,7.6,"Coleharbor, ND",0,False,,0.0,777785
TXN00072,2019-07-17 08:37:11,EMP0509,Lawrence Frost,Bilgi Teknolojileri,Koepp-Parker,Ofis Malzemesi,107.91,"Kittery Point, ME",0,False,,0.0,445611
TXN00073,2019-11-03 17:42:24,EMP0931,Robert Drake,Genel,Nolan-Williamson,Diğer,42.36,"Burbank, OK",0,False,,0.0,720124
TXN00074,2019-10-07 06:43:38,EMP0380,Michael Jackson,Tasarım & Kreatif,Donnelly Llc,Etkinlik & Organizasyon,187.8,"Pea Ridge, AR",0,False,,0.0,658159
TXN00075,2019-02-02 07:34:36,EMP0111,Daniel Briggs,Sağlık,Emard Inc,Ulaşım,89.71,"Moriarty, NM",0,False,,0.0,54379
TXN00076,2019-12-04 00:48:43,EMP0826,Lisa Mendez,Ar-Ge,Kling Inc,Ulaşım,60.16,"Lahoma, OK",0,False,,0.0,799317
TXN00077,2020-02-01 20:07:47,EMP0538,Angela Edwards,Eğitim,"Zemlak, Tillman And Cremin",Diğer,6.9,"Lithopolis, OH",0,False,,0.0,978742
TXN00078,2019-12-19 22:15:06,EMP0220,Jessica Perez,Bilgi Teknolojileri,Monahan-Morar,Diğer,27.52,"Superior, AZ",0,False,,0.0,868982
TXN00079,2020-04-23 12:10:56,EMP0705,Michelle Gregory,Bilgi Teknolojileri,Mcdermott-Rice,Diğer,69.65,"Edisto Island, SC",0,False,,0.0,1147778
TXN00080,2019-05-06 16:01:03,EMP0937,Andrea Cruz,Bilgi Teknolojileri,Erdman-Ebert,Diğer,2.79,"Mifflin, PA",0,False,,0.0,254299
TXN00081,2019-01-26 08:30:38,EMP0811,Ashley Whitney,Bilgi Teknolojileri,Rodriguez Group,Ulaşım,56.66,"Jones, AL",0,False,,0.0,42422
TXN00082,2019-02-05 08:23:08,EMP0722,Tammy Davis,Sağlık,"Schoen, Kuphal And Nitzsche",Ofis Malzemesi,206.64,"Moundsville, WV",0,False,,0.0,60538
TXN00083,2019-01-20 15:51:53,EMP0521,Keith Sanders,Satış & Pazarlama,"Roberts, Ryan And Smith",Diğer,3.09,"Moorhead, MS",0,False,,0.0,32858
TXN00084,2019-11-25 15:08:04,EMP0797,Daniel Jones,Bilgi Teknolojileri,"Lowe, Dietrich And Erdman",Diğer,109.69,"Huntsville, AL",0,False,,0.0,770156
TXN00085,2020-02-16 13:48:20,EMP0709,James Lynch,Bilgi Teknolojileri,Reilly Llc,Ekipman & Donanım,77.09,"Utica, PA",0,False,,0.0,1004029
TXN00086,2019-02-05 19:27:05,EMP0246,Erica Walker,Bilgi Teknolojileri,Connelly-Carter,Ekipman & Donanım,44.38,"Stayton, OR",0,False,,0.0,61696
TXN00087,2019-07-02 09:56:58,EMP0572,Joanne Williams,Bilgi Teknolojileri,"Rutherford, Homenick And Bergstrom",Ofis Malzemesi,49.26,"Altonah, UT",0,False,,0.0,404392
TXN00088,2019-04-09 19:00:43,EMP0460,James Cooper,Operasyon & Lojistik,Shields-Wunsch,Sağlık & Spor,267.84,"Huntsville, AL",0,False,,0.0,193443
TXN00089,2019-09-01 14:06:39,EMP0923,Amber Lewis,Sağlık,Ratke And Sons,Sağlık & Spor,18.78,"Pembroke Township, IL",0,False,,0.0,576047
TXN00090,2019-07-14 05:14:04,EMP0897,Kathleen Nash,Finans & Muhasebe,"Labadie, Treutel And Bode",Yazılım & Lisans,9.25,"Cromona, KY",0,False,,0.0,436159
TXN00091,2019-04-28 12:38:57,EMP0376,Theresa Blackwell,Bilgi Teknolojileri,Little Ltd,Diğer,28.12,"Shenandoah Junction, WV",0,False,,0.0,234886
TXN00092,2019-11-30 19:47:15,EMP0070,Jessica Werner,Yönetim,Buckridge Plc,Diğer,8.63,"Center Point, WV",0,False,,0.0,782624
TXN00093,2019-11-16 06:52:21,EMP0558,Adriana Harvey,Genel,Buckridge Plc,Diğer,9.12,"Unionville, MO",0,False,,0.0,747404
TXN00094,2019-08-15 03:08:15,EMP0385,Debra Eaton,Tasarım & Kreatif,Bartoletti-Wunsch,Ulaşım,52.89,"Paradise Valley, AZ",0,False,,0.0,526666
TXN00095,2019-10-26 15:47:21,EMP0446,Audrey Hickman,Genel,Connelly-Carter,Ekipman & Donanım,33.91,"Mount Clemens, MI",0,False,,0.0,700858
TXN00096,2020-05-14 03:45:19,EMP0264,Sharon Smith,Bilgi Teknolojileri,"Towne, Walker And Borer",Ofis Malzemesi,65.58,"Sun City, CA",0,False,,0.0,1194735
TXN00097,2019-08-24 23:58:05,EMP0746,Rebecca Farley,Sağlık,Hills-Boyer,Diğer,2.22,"Downsville, NY",0,False,,0.0,554106
TXN00098,2019-12-12 20:23:58,EMP0775,Jim Johnson,Sağlık,Mante Group,Diğer,1.86,"Gretna, LA",0,False,,0.0,837163
TXN00099,2019-08-05 14:34:53,EMP0633,Bridget Bowen,Eğitim,Bartoletti And Sons,Diğer,104.72,"Port Saint Lucie, FL",0,False,,0.0,500766
TXN00100,2019-09-09 06:00:49,EMP0364,Christopher Patterson,Yönetim,"Reichert, Shanahan And Hayes",Yazılım & Lisans,153.02,"Timberville, VA",0,False,,0.0,594555
TXN00101,2019-04-07 06:28:32,EMP0281,Christopher Sheppard,Sağlık,Gleason-Macejkovic,Yazılım & Lisans,88.33,"Bristow, IN",0,False,,0.0,186691
TXN00102,2020-02-20 01:31:07,EMP0407,Juan Sherman,Genel,Ortiz Group,Ofis Malzemesi,33.17,"San Antonio, TX",0,False,,0.0,1010042
TXN00103,2020-03-30 11:23:38,EMP0376,Theresa Blackwell,Bilgi Teknolojileri,"Schuppe, Nolan And Hoeger",Ofis Malzemesi,9.74,"Shenandoah Junction, WV",0,False,,0.0,1092594
TXN00104,2020-03-24 11:08:16,EMP0368,Nathan Mayer,Yönetim,Terry-Huel,Yazılım & Lisans,4.56,"Schaumburg, IL",0,False,,0.0,1079969
TXN00105,2020-05-12 12:35:00,EMP0742,Susan Hardy,Hukuk & Uyum,Thompson-Gleason,Sağlık & Spor,57.64,"Manistique, MI",0,False,,0.0,1191227
TXN00106,2019-08-30 05:34:21,EMP0696,Margaret Williams,Bilgi Teknolojileri,Kris-Weimann,Diğer,86.77,"Surrency, GA",0,False,,0.0,568567
TXN00107,2019-08-05 11:31:04,EMP0936,Diana Jacobs,Sağlık,"Rutherford, Homenick And Bergstrom",Ofis Malzemesi,46.19,"Viola, AR",0,False,,0.0,500196
TXN00108,2020-03-09 22:25:01,EMP0151,William Jenkins,Bilgi Teknolojileri,"Feil, Hilpert And Koss",Temsil & Ağırlama,52.86,"Harper, TX",0,False,,0.0,1046450
TXN00109,2019-08-13 13:52:58,EMP0914,Elizabeth Glover,Genel,Mohr Inc,Ofis Malzemesi,1.7,"West Monroe, LA",0,False,,0.0,523340
TXN00110,2020-01-08 16:31:45,EMP0595,Crystal Fuller,Genel,Friesen Ltd,Sağlık & Spor,20.06,"Issaquah, WA",0,False,,0.0,937667
TXN00111,2019-07-12 15:26:41,EMP0867,Gina Gomez,Bilgi Teknolojileri,Larkin Ltd,Diğer,31.74,"Stirling, NJ",0,False,,0.0,431209
TXN00112,2019-03-27 00:39:09,EMP0313,Kayla Jones,Genel,"Stroman, Hudson And Erdman",Ulaşım,101.55,"East Canaan, CT",0,False,,0.0,162111
TXN00113,2020-06-02 13:55:42,EMP0922,Amanda Gomez,Tasarım & Kreatif,Jerde-Hermann,Seyahat,4.31,"Dallas, TX",0,False,,0.0,1244901
TXN00114,2019-07-08 17:56:46,EMP0610,Sara Ramirez,Genel,Shanahan-Lehner,Diğer,21.97,"Birmingham, IA",0,False,,0.0,422391
TXN00115,2020-05-30 05:04:13,EMP0700,Angela West,Genel,"Wiza, Schaden And Stark",Diğer,5.51,"Mansfield, OH",0,False,,0.0,1233664
TXN00116,2019-05-17 00:55:44,EMP0882,David Bonilla,Ar-Ge,Funk Group,Ofis Malzemesi,40.84,"West Green, GA",0,False,,0.0,276440
TXN00117,2020-06-07 04:30:16,EMP0097,Maureen Garza,Genel,"Casper, Hand And Zulauf",Ofis Malzemesi,99.58,"Saint Louis, MO",0,False,,0.0,1255992
TXN00118,2019-06-24 17:23:23,EMP0470,Dorothy Thomas,Bilgi Teknolojileri,"Langosh, Wintheiser And Hyatt",Temsil & Ağırlama,8.51,"Milford, OH",0,False,,0.0,382979
TXN00119,2020-01-11 11:06:42,EMP0501,Jeffrey Smith,Genel,"Goldner, Kovacek And Abbott",Ofis Malzemesi,95.11,"Bridger, MT",0,False,,0.0,941614
TXN00120,2020-06-09 20:45:24,EMP0544,Sarah Scott,Tasarım & Kreatif,"Runte, Green And Emard",Sağlık & Spor,21.53,"Wichita, KS",0,False,,0.0,1266122
TXN00121,2019-06-27 12:23:00,EMP0347,Brent Terrell,Bilgi Teknolojileri,Bernhard-Lesch,Temsil & Ağırlama,91.39,"Port Ewen, NY",0,False,,0.0,389065
TXN00122,2019-02-25 01:25:15,EMP0109,Alicia Hawkins,Bilgi Teknolojileri,Conroy-Cruickshank,Ulaşım,66.35,"Harwood, MD",0,False,,0.0,93601
TXN00123,2019-07-28 14:12:41,EMP0436,Jennifer Banks,Genel,Botsford And Sons,Ekipman & Donanım,46.43,"Moravian Falls, NC",0,False,,0.0,476736
TXN00124,2019-11-29 18:00:58,EMP0575,Lindsay Wilson,Bilgi Teknolojileri,Sawayn Plc,Ofis Malzemesi,9.94,"Centerview, MO",0,False,,0.0,777870
TXN00125,2020-03-26 18:38:50,EMP0627,Steven Sanders,Yönetim,Wilkinson Plc,Diğer,33.46,"Ozawkie, KS",0,False,,0.0,1084598
TXN00126,2019-09-22 22:07:24,EMP0883,Sarah Bell,Yönetim,"Schmeler, Bashirian And Price",Yazılım & Lisans,7.77,"Galatia, IL",0,False,,0.0,625351
TXN00127,2020-05-14 12:33:51,EMP0132,Robert Evans,Bilgi Teknolojileri,Little Ltd,Diğer,166.25,"Sachse, TX",0,False,,0.0,1195242
TXN00128,2019-01-23 21:48:58,EMP0128,Daniel Boyd,Genel,Terry Ltd,Ekipman & Donanım,80.42,"Egan, LA",0,False,,0.0,39361
TXN00129,2020-01-27 06:39:33,EMP0563,Kristina Stewart,Sağlık,Goodwin-Nitzsche,Ofis Malzemesi,210.75,"Newhall, CA",0,False,,0.0,970059
TXN00130,2019-11-07 06:58:59,EMP0732,Mary Lewis,Bilgi Teknolojileri,Friesen-Stamm,Ulaşım,62.3,"Bay Minette, AL",0,False,,0.0,727822
TXN00131,2019-06-20 12:35:18,EMP0236,Craig Dunn,Bilgi Teknolojileri,Frami Group,Etkinlik & Organizasyon,68.79,"New Boston, IL",0,False,,0.0,369456
TXN00132,2019-04-11 22:16:22,EMP0187,Samuel Sandoval,Bilgi Teknolojileri,Hyatt-Blick,Seyahat,8.15,"Mounds, OK",0,False,,0.0,197151
TXN00133,2019-06-18 13:05:54,EMP0834,Carrie Lewis,Genel,Morissette Plc,Ofis Malzemesi,17.18,"Pecos, TX",0,False,,0.0,365550
TXN00134,2019-04-01 07:45:29,EMP0854,John Myers,Bilgi Teknolojileri,Morar Inc,Ofis Malzemesi,58.26,"Highland, IN",0,False,,0.0,174143
TXN00135,2020-03-10 23:51:28,EMP0382,Nathan Martinez,Bilgi Teknolojileri,Bogisich-Weimann,Diğer,52.73,"Oconto Falls, WI",0,False,,0.0,1049746
TXN00136,2020-05-31 18:28:31,EMP0717,Monica Tucker,Sağlık,"Swaniawski, Lowe And Robel",Ofis Malzemesi,1.93,"Smiths Grove, KY",0,False,,0.0,1238032
TXN00137,2020-03-29 03:35:46,EMP0575,Lindsay Wilson,Bilgi Teknolojileri,Bins-Rice,Ulaşım,58.03,"Centerview, MO",0,False,,0.0,1089052
TXN00138,2020-06-09 00:15:55,EMP0464,Amber Perez,Finans & Muhasebe,"Lehner, Mosciski And King",Diğer,15.15,"Fulton, SD",0,False,,0.0,1262973
TXN00139,2019-06-30 10:40:05,EMP0804,Martin Duarte,Sağlık,"Wintheiser, Dietrich And Schimmel",Diğer,5.15,"Luzerne, MI",0,False,,0.0,397349
TXN00140,2019-11-01 23:05:40,EMP0925,Julia Bell,Bilgi Teknolojileri,Botsford Plc,Ekipman & Donanım,63.9,"West Sayville, NY",0,False,,0.0,715155
TXN00141,2019-12-09 17:04:29,EMP0943,Jeremy Roberson,Danışmanlık,Carroll Plc,Sağlık & Spor,75.35,"Graniteville, VT",0,False,,0.0,825756
TXN00142,2019-05-08 16:07:40,EMP0235,Lori Rodriguez,Bilgi Teknolojileri,Hackett Group,Seyahat,8.12,"Creola, OH",0,False,,0.0,258086
TXN00143,2019-04-22 04:22:27,EMP0031,Cristian Jones,Hukuk & Uyum,Lockman Ltd,Ofis Malzemesi,53.32,"Wilmette, IL",0,False,,0.0,221273
TXN00144,2019-08-29 14:42:21,EMP0235,Lori Rodriguez,Bilgi Teknolojileri,Gerhold Llc,Ekipman & Donanım,21.62,"Creola, OH",0,False,,0.0,567020
TXN00145,2019-07-21 14:18:11,EMP0670,Christopher Rodgers,Bilgi Teknolojileri,Jakubowski Inc,Ekipman & Donanım,75.56,"Fenelton, PA",0,False,,0.0,457028
TXN00146,2019-10-22 07:50:20,EMP0672,Gary Martinez,Genel,Strosin-Cruickshank,Ofis Malzemesi,62.33,"Reno, NV",0,False,,0.0,692651
TXN00147,2020-02-26 02:35:03,EMP0535,Cory Thomas,Tasarım & Kreatif,Mohr-Bayer,Yazılım & Lisans,87.41,"Williamsburg, MO",0,False,,0.0,1020906
TXN00148,2019-05-01 23:23:53,EMP0013,Jessica Dominguez,Tasarım & Kreatif,Yost-Rogahn,Diğer,21.99,"Gadsden, AL",1,False,,0.0,243026
TXN00149,2019-08-26 03:36:58,EMP0696,Margaret Williams,Bilgi Teknolojileri,Gislason Group,Diğer,461.81,"Surrency, GA",0,False,,0.0,558560
TXN00150,2020-04-12 02:16:46,EMP0230,Teresa Clark,Tasarım & Kreatif,Goodwin-Nitzsche,Ofis Malzemesi,132.8,"Noonan, ND",0,False,,0.0,1120893
TXN00151,2019-01-08 23:52:57,EMP0537,Jose Vasquez,Genel,Stiedemann Inc,Diğer,2.15,"Lake Jackson, TX",0,False,,0.0,14402
TXN00152,2019-07-22 23:10:49,EMP0811,Ashley Whitney,Bilgi Teknolojileri,Leannon-Ward,Temsil & Ağırlama,17.91,"Jones, AL",0,False,,0.0,462664
TXN00153,2020-01-10 23:21:53,EMP0492,Samuel Sellers,Bilgi Teknolojileri,Padberg-Welch,Ofis Malzemesi,274.73,"Kenner, LA",1,False,,0.0,940826
TXN00154,2020-02-14 03:55:46,EMP0250,Mary Wall,Yönetim,"Lehner, Mosciski And King",Diğer,7.82,"Plainfield, NJ",0,False,,0.0,999568
TXN00155,2019-01-21 21:28:44,EMP0488,Lauren Moreno,Genel,"Klocko, Runolfsdottir And Breitenberg",Sağlık & Spor,111.49,"Heislerville, NJ",0,False,,0.0,35739
TXN00156,2019-05-27 17:31:11,EMP0081,Eric Preston,Genel,Wuckert-Goldner,Ekipman & Donanım,217.74,"Mesa, ID",0,False,,0.0,304130
